Id,SalePrice
1461,125778
1462,163427
1463,187723
1464,185366
1465,185232
1466,166335
1468,171907
1469,166454
1470,131053
1471,192552
1472,91126
1473,105566
1474,144622
1475,151357
1476,259189
1477,256074
1478,261647
1479,208431
1480,247717
1481,259165
1482,211814
1483,163074
1484,169822
1485,172169
1486,194202
1487,233609
1489,212733
1490,209641
1491,189819
1492,77644
1493,163230
1494,274645
1495,246855
1496,226547
1497,174788
1498,158974
1499,152042
1500,137465
1503,239607
1504,218033
1505,228247
1507,221916
1509,166640
1510,149386
1511,145757
1512,161612
1515,194682
1516,139019
1517,129008
1518,138441
1519,241956
1521,138927
1522,171726
1523,103862
1524,131164
1525,132631
1526,125701
1527,117967
1528,123873
1529,154982
1530,170133
1531,103084
1533,140920
1534,116419
1535,155521
1537,56233
1538,179396
1539,189503
1541,147332
1542,163752
1544,105356
1545,99851
1546,121664
1547,137320
1548,137810
1549,108450
1550,161271
1551,105365
1552,154145
1554,103676
1555,162089
1558,91713
1560,157166
1562,125762
1563,127127
1565,154133
1567,79880
1569,155742
1570,132376
1571,132073
1572,144939
1573,222178
1575,196989
1576,219346
1577,206652
1578,134234
1579,128035
1581,141072
1582,132477
1583,252085
1584,246319
1587,120618
1588,140070
1589,98348
1590,136166
1592,118388
1596,251620
1597,194789
1598,181710
1599,176933
1600,168582
1601,67819
1602,110242
1603,95570
1604,256695
1605,229760
1606,170567
1608,235486
1609,204348
1610,171078
1611,139794
1612,176117
1614,126239
1617,97507
1618,120561
1619,133100
1620,172986
1621,126211
1622,122311
1623,230869
1624,194248
1625,121196
1626,172447
1627,196936
1629,185869
1630,239561
1631,221278
1632,226942
1633,165684
1634,178835
1636,159342
1637,185279
1639,173234
1641,188672
1642,229166
1646,162402
1647,162564
1650,129512
1651,127115
1652,87051
1653,93684
1654,151919
1655,156708
1656,142221
1657,152640
1658,139598
1659,152871
1661,265719
1662,268714
1663,263136
1664,244680
1665,280412
1666,258211
1667,249640
1668,271260
1669,253323
1670,264400
1671,251234
1672,252936
1673,275912
1674,255252
1675,187580
1676,190879
1677,221507
1678,228111
1679,250430
1680,241995
1681,240344
1682,261210
1683,184980
1684,170020
1685,173179
1686,162085
1687,174728
1688,186065
1689,188580
1693,173742
1694,191201
1695,171519
1697,174726
1698,268261
1700,238972
1702,259943
1703,258934
1704,271781
1705,217245
1706,242100
1708,231796
1709,272962
1710,225364
1711,229838
1712,207937
1713,254366
1714,218716
1715,206989
1716,178966
1717,173988
1719,195329
1720,224323
1721,157380
1723,166563
1724,211054
1725,214450
1726,171726
1727,162273
1728,196184
1731,130282
1736,121772
1739,214495
1742,189454
1743,172170
1745,185968
1746,224817
1748,213405
1749,159894
1750,139913
1752,122391
1753,147329
1754,223864
1756,135048
1757,121822
1760,149638
1761,151468
1763,150524
1764,108616
1765,177890
1766,175382
1767,193779
1768,138797
1770,153370
1771,137652
1772,140451
1773,147663
1774,131905
1775,138292
1776,132146
1777,111930
1778,134335
1780,194704
1781,129468
1782,110109
1783,146129
1784,121381
1785,113444
1786,154630
1787,199403
1789,113246
1790,80393
1791,188243
1792,164440
1793,135527
1794,143283
1795,145256
1796,129375
1797,138961
1798,128970
1799,113363
1800,132279
1801,154177
1802,147350
1803,154059
1804,134318
1805,135780
1806,105471
1807,156104
1808,125004
1810,140138
1813,112070
1814,118359
1816,112373
1817,136006
1818,124976
1819,107630
1821,119915
1822,157119
1825,152162
1826,104522
1827,101554
1828,153021
1829,108026
1830,155625
1831,168771
1833,133222
1836,140178
1838,124606
1839,98408
1842,79071
1843,136375
1845,149368
1846,143054
1850,124282
1851,134161
1852,139189
1853,134880
1854,179820
1855,151647
1856,198591
1860,147678
1865,269886
1866,267111
1867,253256
1868,240787
1869,204317
1870,232445
1871,252345
1872,169999
1874,142690
1875,222803
1876,212506
1877,196329
1878,229069
1880,135378
1881,231127
1885,233441
1887,183823
1888,245462
1889,166879
1890,128333
1891,147241
1892,110702
1893,138130
1895,144620
1896,124016
1897,111991
1898,100022
1899,123749
1900,159108
1901,171963
1902,132383
1904,139490
1905,167597
1906,153021
1907,194670
1908,121166
1909,118583
1910,119037
1913,141831
1914,74611
1915,255600
1917,254555
1918,138029
1919,154213
1920,151532
1921,262220
1922,235980
1924,221611
1925,194569
1926,254098
1927,135847
1928,176161
1929,137805
1930,145184
1931,144542
1932,131232
1933,179828
1934,187988
1935,172709
1936,194954
1938,156148
1939,235354
1940,187840
1941,168825
1943,189079
1944,283990
1945,246564
1947,267483
1949,232828
1951,225329
1952,214072
1953,165416
1954,223223
1955,129248
1957,164064
1959,157150
1960,110266
1961,125255
1962,85952
1963,114455
1964,102976
1965,145000
1966,159159
1967,244932
1968,258641
1969,235346
1970,271493
1971,263009
1972,270428
1973,261618
1974,272547
1975,235897
1976,258139
1977,254344
1978,249730
1979,247898
1980,205965
1981,248605
1982,233729
1983,219443
1984,175034
1987,187795
1988,176981
1991,212269
1992,189485
1994,244741
1995,192659
1996,245992
1998,246302
1999,236077
2001,256530
2002,237634
2003,251553
2004,229633
2006,242450
2007,248994
2008,209437
2009,175303
2010,192885
2012,184996
2013,180439
2014,174381
2015,189101
2016,196620
2017,189599
2018,127916
2019,135465
2020,102789
2021,115190
2022,182694
2023,159264
2025,252273
2026,168209
2027,151707
2028,146809
2029,173729
2032,225691
2033,231933
2034,160971
2035,195553
2036,198102
2037,201758
2038,224017
2039,206908
2044,161009
2046,148528
2047,158458
2048,131195
2049,148897
2052,137658
2054,102007
2055,143456
2056,163031
2057,124057
2058,212574
2059,133217
2060,170672
2061,153514
2062,134065
2063,115704
2064,146588
2066,173097
2068,127284
2070,117055
2071,99189
2072,138341
2073,138843
2074,191104
2076,113515
2077,146115
2078,132832
2079,125766
2080,130673
2081,115230
2083,150273
2084,119265
2085,127669
2086,126283
2087,122077
2088,88736
2089,80011
2090,116563
2092,148610
2093,110307
2095,172527
2096,108306
2098,149143
2099,62652
2101,122658
2102,134105
2103,119285
2104,133214
2106,55362
2107,250714
2108,131200
2109,128460
2110,106246
2113,125890
2114,105013
2115,141868
2116,121671
2117,146969
2118,119006
2119,96108
2120,106905
2122,107906
2124,184420
2125,138563
2126,177468
2128,130853
2130,136841
2131,150690
2133,120876
2134,132057
2135,107129
2137,105858
2139,145805
2140,147054
2144,103046
2145,133766
2146,136520
2148,131881
2150,183535
2151,139384
2153,146168
2155,121902
2157,228912
2159,214866
2160,170890
2161,251956
2162,250183
2163,262846
2166,149046
2169,198693
2170,198652
2173,158671
2177,244936
2178,218294
2180,188951
2181,200876
2182,207547
2183,197615
2184,137365
2185,136487
2188,160231
2195,124087
2196,127265
2197,116671
2198,159175
2199,150540
2200,129787
2201,119075
2202,214516
2206,138488
2207,224667
2208,242367
2209,173274
2210,119218
2211,122516
2212,115424
2214,142655
2215,116040
2216,114443
2220,89925
2221,256276
2222,246138
2226,188837
2227,191017
2228,252215
2229,231593
2230,173198
2231,230886
2232,162909
2233,164467
2234,214271
2236,258599
2237,238722
2238,195880
2240,157934
2241,147187
2243,125354
2244,104389
2245,101410
2248,120719
2249,125247
2250,134596
2252,177297
2253,166791
2256,186457
2257,211823
2260,137981
2261,185815
2262,185556
2263,282687
2264,240992
2265,150805
2266,266321
