,file_name,category,content3,target
0,001.txt,business,ad sale boost time warner profit quarterly profit medium giant jump month december year early firm big investor benefit sale high speed internet connection high advert sale 4 quarter sale rise profit buoy gain offset profit dip warner bros little user time warner friday search engine internet business mix fortune lose subscriber 4 quarter profit low precede quarter company underlie profit exceptional item rise strong internet advertise revenue hope increase subscriber offer online service free internet customer try sign exist customer high speed broadband restate result follow probe securities exchange commission close conclude time warner 4 quarter profit slightly analyst expectation film division profit slump help box office flop alexander catwoman sharp contrast year early 3 final film lord rings trilogy boost result year post profit performance revenue grow financial performance strong meet exceed year objective greatly enhance flexibility chairman chief executive richard parsons project operate earnings growth expect high revenue wide profit margin restate account effort resolve inquiry market regulator offer pay settle charge deal review company unable estimate need set aside legal reserve previously set intend adjust way account deal german music publisher purchase stake europe report advertise revenue book sale stake europe loss value stake,0
1,002.txt,business,dollar gain speech dollar hit high level euro month federal reserve head trade deficit set stabilise alan highlight government willingness curb spend rise household saving factor help reduce late trade new york dollar reach euro thursday market concern deficit hit greenback recent month friday federal reserve chairman mr speech ahead meet minister send dollar high early tumble wrong expect job datum think chairman sanguine view current account deficit time robert sinche head currency strategy bank america new york long term view lay set condition current account deficit improve year worries deficit concern remain currency remain peg dollar currency sharp fall recent month chinese export price highly competitive shift policy fall deaf ear despite recent comment major chinese newspaper time ripe loosen peg think unlikely produce meaningful movement chinese policy meantime federal reserve decision february boost interest rate quarter point 6 month open differential european rate half point window believe asset look attractive help prop dollar recent fall partly result big budget deficit good yawn current account gap need fund buy bond asset foreign firm government white house announce budget monday commentator believe deficit remain close half trillion dollar,0
2,003.txt,business,unit buyer face loan claim owner embattled russian oil giant ask buyer production unit pay loan state buy unit sale force settle tax claim owner group ask repay loan secure asset face similar repayment demand foreign bank legal expert purchase include obligation pledge asset pay real money creditor avoid seizure asset base lawyer jamie firestone connect case group manage director tim osborne tell news agency default fight rule law exist international arbitration clause credit official unavailable comment company intend action recover tax claim debt owe file bankruptcy protection court attempt prevent force sale main production arm sale ahead december sell little know shell company turn buy claim downfall punishment political ambition founder mikhail khodorkovsky vow sue participant sale,0
3,004.txt,business,high fuel price hit profit british airways blame high fuel price drop profit reporting result month december airline pre tax profit compare year early rod chief executive result respectable 3 quarter fuel cost rise profit market expectation expect rise year revenue help offset increase price aviation fuel year introduce fuel surcharge passenger october increase way long haul flight short haul surcharge raise leg aviation analyst mike powell dresdner kleinwort wasserstein estimate annual surcharge revenue way short additional fuel cost predict extra turnover quarter far benefit rise cargo revenue looking ahead year result march warn yield average revenue passenger expect decline continue low price face competition low cost carrier sale previously forecast year march total revenue outlook slightly previous guidance improvement anticipate chairman martin broughton previously forecast rise year revenue report friday passenger number rise january aviation analyst nick van den brul bnp paribas describe late quarterly result pretty modest good revenue impact fuel surcharge positive cargo development operate margin cost impact fuel strong september attack united states cut job major cost cut drive focus remain reduce controllable cost debt whilst continue invest product mr example delivery aaircraft month start far improvement club world flat bed share close penny penny,0
4,005.txt,business,takeover talk lift shares drink food firm rise speculation target takeover france ricard reports wall street journal financial times suggest french spirit firm consider bid contact target share rise gmt share slip seek acquisition refuse comment specific major purchase 3 giant propel global drink firm buy market leader term market value euro small capitalisation euro year try buy glenmorangie scotland premier whisky firm lose luxury good firm lvmh home brand include chivas regal scotch whisky havana club rum jacob creek wine big include malibu rum courvoisier brandy vodka whisky good snack food chain dunkin donuts baskin robbins ice cream ripe consolidation deal problematic portfolio reduce debt fund purchase euro improve performance fast food chain,0
5,006.txt,business,narrowly escape recession economy teeter brink technical recession month september figure revised figure indicate growth similar size contraction previous quarter annual basis datum suggest annual growth suggest hesitant recovery previously think common technical definition recession successive quarter negative growth government keen play worry implication datum maintain view economy remain minor adjustment phase upward climb monitor development carefully economy minister heizo takenaka face strengthen yen export little competitive indication weaken economic condition ahead observer little sanguine paint picture recovery patchy previously think paul sheard economist lehman brothers improvements job market apparently fee domestic demand private consumption 3 quarter,0
6,007.txt,business,jobs growth slow create job expect january fall jobseeker push unemployment rate low level year according labor department figure firm add job january gain non farm payroll market expectation new job push unemployment rate low level september job gain mean president celebrate albeit fine margin net growth job economy term office preside net fall job november presidential election president herbert hoover result job creation key issue year election add december january figure administration term job record end positive territory labor department revise job gain december analysts growth new job strong expect favourable economic condition suggest employment continue expand moderate pace rick egelton deputy chief economist bmo financial group boost employment low value dollar relatively low interest rate environment economy produce moderate satisfy job growth ken mayland president clearview economics mean limit numb new opportunity worker,0
7,008.txt,business,fair trade rule attend seven lead industrialise nation friday unlikely cow newcomer status thursday ahead meet finance minister lash restrictive trade policy object subsidy agriculture hard develope nation compete reform united nations world bank imf palaniappan finance minister argue organisation need account change world order integration global economy issue globalisation term engagement globalisation mr attend ggroup nation account world population conference develope enterprise host finance minister gordon brown friday favour float exchange rate help country cope economic shock flexible exchange rate channel absorb positive negative shock tell conference brazil south africa russia invite place friday saturday expect face renew pressure abandon fix exchange rate particular blame surge cheap chinese export country try use fix exchange rate wish judgement mr separately imf warn thursday budget deficit large hamper country economic growth forecast year march year march indian economy grow,0
8,009.txt,business,crop production produce million tonne crop high average past year report crop production total million tonne joint report food agriculture organisation world food programme good rain increase use fertilizer improve seed contribute rise production million ethiopian need emergency assistance report calculate emergency food requirement tonne tonne fortify blend food vegetable oil target supplementary food distribution survival programme child pregnant lactate woman need eastern southern prolong drought kill crop drain year total tonne food assistance need help seven million ethiopian food agriculture organisation recommend food assistance buy locally local purchase cereal food assistance programme recommend far possible assist domestic market farmer henri josserand chief global information early warning system agriculture main economic activity represent gross domestic product ethiopian depend directly indirectly agriculture,0
9,010.txt,business,court reject tobacco case government claim accuse country big tobacco company cover effect smoke throw appeal court demand file administration reject decision court find case bring federal anti racketeering law accuse group rj tobacco lorillard tobacco liggett group brown williamson case government claim tobacco firm manipulate nicotine level increase addiction target teenager multi billion dollar advertise campaign lie danger smoke ignore research contrary prosecutors want cigarette firm surrender profit accumulate past year impose tough rule market product court appeals district columbia rule government sue firm legislation draw counteract infiltration business tobacco company deny illegally conspire promote smoke defraud public meet government demand landmark settlement reach state shares tobacco company close high rule rise gain,0
10,011.txt,business,ask tip online ad revival ask 3 lead online search firm week thank revival internet advertise improve fortune firm revenue nearly triple 4 quarter exceed ask know web relatively modest player profit quarter dwarf announce rival early week quarter earn tip resurgence online advertise trend hold relatively quickly late year market company lead provider online advertise warn business sale thursday announce sharp turnaround bring unexpected increase profit ask thrill investor profit news case share fall analysts attribute fall excessive expectation quarter fuel dramatic outperformance tuesday,0
11,012.txt,business,indonesian face fuel price rise government confirm consider raise fuel price millions indonesian use kerosene basic cook price heavily subsidise year president susilo bambang government want curb fuel subsidy direct money aid programme poor critic argue cut subsidy hurt poor family government want help millions people leave homeless aceh region follow earthquake tsunami disaster late december pay subsidy importer order stabilise domestic fuel price high oil price force government spend hold price spend trillion rupiah fuel subsidy sum far excess original projection trillion rupiah president government come power october indicate intention raise domestic fuel price cut subsidy january march quarter year time increase fuel price sri mulyani indrawati state minister national development planning consider hike suitable moment soon state budget correspondent jakarta rachel harvey tell world business report likely strong public reaction price rise big question big short sharp shock raise price try stagger previous government lead president megawati sukarnoputri attempt cut subsidy force face public protest,0
12,013.txt,business,deal boost struggling japanese car maker motors strike deal supply french car maker sport utility vehicle suv firm sign memorandum understanding expect seal final agreement spring alliance come badly need boost loss profit warning poor sale suvs build use diesel engine sell mainly european market falling sale leave motors underuse capacity production deal chance utilise january motors issue 3 profit warn month cut sale forecast year march sale slide past year catalyse revelation company systematically hide record fault secretly repair vehicle result japanese car maker seek series financial bailout month look far yen fresh financial half company group german carmaker shareholder motors decide april pump money deal celebrate newly appoint chief executive takashi nishioka boss stand month shoulder responsibility firm trouble motors forecast net loss yen current financial year march month sign production agreement japanese rival motor supply small car sale car,0
