,file_name,category,content3,target
0,001.txt,business,Ad sale boost Time Warner profit Quarterly profit medium giant jump month December year early firm big investor benefit sale high speed internet connection high advert sale 4 quarter sale rise profit buoy gain offset profit dip Warner Bros little user Time Warner Friday search engine internet business mix fortune lose subscriber 4 quarter profit low precede quarter company underlie profit exceptional item rise strong internet advertise revenue hope increase subscriber offer online service free internet customer try sign exist customer high speed broadband restate result follow probe Securities Exchange Commission close conclude Time Warner 4 quarter profit slightly analyst expectation film division profit slump help box office flop Alexander Catwoman sharp contrast year early 3 final film Lord Rings trilogy boost result year post profit performance revenue grow financial performance strong meet exceed year objective greatly enhance flexibility chairman chief executive Richard Parsons project operate earnings growth expect high revenue wide profit margin restate account effort resolve inquiry market regulator offer pay settle charge deal review company unable estimate need set aside legal reserve previously set intend adjust way account deal German music publisher purchase stake Europe report advertise revenue book sale stake Europe loss value stake,0
1,002.txt,business,Dollar gain speech dollar hit high level euro month Federal Reserve head trade deficit set stabilise Alan highlight government willingness curb spend rise household saving factor help reduce late trade New York dollar reach euro Thursday Market concern deficit hit greenback recent month Friday Federal Reserve chairman Mr speech ahead meet minister send dollar high early tumble wrong expect job datum think chairman sanguine view current account deficit time Robert Sinche head currency strategy Bank America New York long term view lay set condition current account deficit improve year Worries deficit concern remain currency remain peg dollar currency sharp fall recent month Chinese export price highly competitive shift policy fall deaf ear despite recent comment major Chinese newspaper time ripe loosen peg think unlikely produce meaningful movement Chinese policy meantime Federal Reserve decision February boost interest rate quarter point 6 month open differential European rate half point window believe asset look attractive help prop dollar recent fall partly result big budget deficit good yawn current account gap need fund buy bond asset foreign firm government White House announce budget Monday commentator believe deficit remain close half trillion dollar,0
2,003.txt,business,unit buyer face loan claim owner embattled Russian oil giant ask buyer production unit pay loan State buy unit sale force settle tax claim owner Group ask repay loan secure asset face similar repayment demand foreign bank Legal expert purchase include obligation pledge asset pay real money creditor avoid seizure asset base lawyer Jamie Firestone connect case Group manage director Tim Osborne tell news agency default fight rule law exist international arbitration clause credit official unavailable comment company intend action recover tax claim debt owe file bankruptcy protection court attempt prevent force sale main production arm sale ahead December sell little know shell company turn buy claim downfall punishment political ambition founder Mikhail Khodorkovsky vow sue participant sale,0
3,004.txt,business,High fuel price hit profit British Airways blame high fuel price drop profit Reporting result month December airline pre tax profit compare year early Rod chief executive result respectable 3 quarter fuel cost rise profit market expectation expect rise year revenue help offset increase price aviation fuel year introduce fuel surcharge passenger October increase way long haul flight short haul surcharge raise leg aviation analyst Mike Powell Dresdner Kleinwort Wasserstein estimate annual surcharge revenue way short additional fuel cost predict extra Turnover quarter far benefit rise cargo revenue Looking ahead year result March warn yield average revenue passenger expect decline continue low price face competition low cost carrier sale previously forecast year March total revenue outlook slightly previous guidance improvement anticipate chairman Martin Broughton previously forecast rise year revenue report Friday passenger number rise January Aviation analyst Nick Van den Brul BNP Paribas describe late quarterly result pretty modest good revenue impact fuel surcharge positive cargo development operate margin cost impact fuel strong September attack United States cut job major cost cut drive focus remain reduce controllable cost debt whilst continue invest product Mr example delivery Aaircraft month start far improvement Club World flat bed share close penny penny,0
4,005.txt,business,takeover talk lift Shares drink food firm rise speculation target takeover France Ricard Reports Wall Street Journal Financial Times suggest French spirit firm consider bid contact target share rise GMT share slip seek acquisition refuse comment specific major purchase 3 giant propel global drink firm buy market leader term market value euro small capitalisation euro year try buy Glenmorangie Scotland premier whisky firm lose luxury good firm LVMH home brand include Chivas Regal Scotch whisky Havana Club rum Jacob Creek wine big include Malibu rum Courvoisier brandy vodka whisky good snack food chain Dunkin Donuts Baskin Robbins ice cream ripe consolidation deal problematic portfolio reduce debt fund purchase euro improve performance fast food chain,0
5,006.txt,business,narrowly escape recession economy teeter brink technical recession month September figure Revised figure indicate growth similar size contraction previous quarter annual basis datum suggest annual growth suggest hesitant recovery previously think common technical definition recession successive quarter negative growth government keen play worry implication datum maintain view economy remain minor adjustment phase upward climb monitor development carefully economy minister Heizo Takenaka face strengthen yen export little competitive indication weaken economic condition ahead observer little sanguine paint picture recovery patchy previously think Paul Sheard economist Lehman Brothers Improvements job market apparently fee domestic demand private consumption 3 quarter,0
6,007.txt,business,Jobs growth slow create job expect January fall jobseeker push unemployment rate low level year According Labor Department figure firm add job January gain non farm payroll market expectation new job push unemployment rate low level September job gain mean President celebrate albeit fine margin net growth job economy term office preside net fall job November Presidential election President Herbert Hoover result job creation key issue year election add December January figure administration term job record end positive territory Labor Department revise job gain December Analysts growth new job strong expect favourable economic condition suggest employment continue expand moderate pace Rick Egelton deputy chief economist BMO Financial Group boost employment low value dollar relatively low interest rate environment economy produce moderate satisfy job growth Ken Mayland president ClearView Economics mean limit numb new opportunity worker,0
7,008.txt,business,fair trade rule attend seven lead industrialise nation Friday unlikely cow newcomer status Thursday ahead meet finance minister lash restrictive trade policy object subsidy agriculture hard develope nation compete reform United Nations World Bank IMF Palaniappan finance minister argue organisation need account change world order integration global economy issue globalisation term engagement globalisation Mr attend Ggroup nation account world population conference develope enterprise host finance minister Gordon Brown Friday favour float exchange rate help country cope economic shock flexible exchange rate channel absorb positive negative shock tell conference Brazil South Africa Russia invite place Friday Saturday expect face renew pressure abandon fix exchange rate particular blame surge cheap Chinese export country try use fix exchange rate wish judgement Mr Separately IMF warn Thursday budget deficit large hamper country economic growth forecast year March year March Indian economy grow,0
8,009.txt,business,crop production produce million tonne crop high average past year report crop production total million tonne joint report Food Agriculture Organisation World Food Programme Good rain increase use fertilizer improve seed contribute rise production million Ethiopian need emergency assistance report calculate emergency food requirement tonne tonne fortify blend food vegetable oil target supplementary food distribution survival programme child pregnant lactate woman need eastern southern prolong drought kill crop drain year total tonne food assistance need help seven million Ethiopian Food Agriculture Organisation recommend food assistance buy locally Local purchase cereal food assistance programme recommend far possible assist domestic market farmer Henri Josserand chief Global Information Early Warning System Agriculture main economic activity represent gross domestic product Ethiopian depend directly indirectly agriculture,0
9,010.txt,business,Court reject tobacco case government claim accuse country big tobacco company cover effect smoke throw appeal court demand file administration reject decision court find case bring federal anti racketeering law accuse Group RJ Tobacco Lorillard Tobacco Liggett Group Brown Williamson case government claim tobacco firm manipulate nicotine level increase addiction target teenager multi billion dollar advertise campaign lie danger smoke ignore research contrary Prosecutors want cigarette firm surrender profit accumulate past year impose tough rule market product Court Appeals District Columbia rule government sue firm legislation draw counteract infiltration business tobacco company deny illegally conspire promote smoke defraud public meet government demand landmark settlement reach state Shares tobacco company close high rule rise gain,0
10,011.txt,business,Ask tip online ad revival Ask 3 lead online search firm week thank revival internet advertise improve fortune firm revenue nearly triple 4 quarter exceed Ask know web relatively modest player profit quarter dwarf announce rival early week quarter earn tip resurgence online advertise trend hold relatively quickly Late year market company lead provider online advertise warn business sale Thursday announce sharp turnaround bring unexpected increase profit Ask thrill investor profit news case share fall Analysts attribute fall excessive expectation quarter fuel dramatic outperformance Tuesday,0
11,012.txt,business,Indonesian face fuel price rise government confirm consider raise fuel price Millions Indonesian use kerosene basic cook price heavily subsidise year President Susilo Bambang government want curb fuel subsidy direct money aid programme poor critic argue cut subsidy hurt poor family government want help Millions people leave homeless Aceh region follow earthquake tsunami disaster late December pay subsidy importer order stabilise domestic fuel price high oil price force government spend hold price spend trillion rupiah fuel subsidy sum far excess original projection trillion rupiah President government come power October indicate intention raise domestic fuel price cut subsidy January March quarter year time increase fuel price Sri Mulyani Indrawati State Minister National Development Planning consider hike suitable moment soon state budget correspondent Jakarta Rachel Harvey tell World Business Report likely strong public reaction price rise big question big short sharp shock raise price try stagger previous government lead President Megawati Sukarnoputri attempt cut subsidy force face public protest,0
12,013.txt,business,deal boost Struggling Japanese car maker Motors strike deal supply French car maker sport utility vehicle SUV firm sign Memorandum Understanding expect seal final agreement Spring alliance come badly need boost loss profit warning poor sale SUVs build use diesel engine sell mainly European market Falling sale leave Motors underuse capacity production deal chance utilise January Motors issue 3 profit warn month cut sale forecast year March sale slide past year catalyse revelation company systematically hide record fault secretly repair vehicle result Japanese car maker seek series financial bailout month look far yen fresh financial half company group German carmaker shareholder Motors decide April pump money deal celebrate newly appoint chief executive Takashi Nishioka boss stand month shoulder responsibility firm trouble Motors forecast net loss yen current financial year March month sign production agreement Japanese rival Motor supply small car sale car,0
