,links,title,news
0,/news/world/joe-biden-wife-jill-test-negative-for-covid-19-doctor-says-11601659916141.html,"Joe Biden, wife Jill test negative for COVID-19, doctor says","""Vice President Joe Biden and Dr. Jill Biden underwent PCR testing for COVID-19 today and COVID-19 was not detected,"" Dr. Kevin O’Connor said in a statement. Biden was scheduled to travel to Grand Rapids, Michigan on Friday, and the campaign was telling people to carry on with planning for a day that included several campaign events, one person who asked not to be named said. ""I’m happy to report that Jill and I have tested negative for COVID,"" Biden said on Twitter. ""Thank you to everyone for your messages of concern. I hope this serves as a reminder: wear a mask, keep social distance, and wash your hands."" President Donald Trump, who faces Biden in the November presidential election, is experiencing mild symptoms after testing positive for coronavirus, administration officials said on Friday, as the White House and election campaign scrambled to adjust to the bombshell development. "
1,/market/stock-market-news/wall-street-s-big-banks-focus-on-small-deals-11601659625397.html,Wall Street’s big banks focus on small deals,"But with the pandemic-induced slowdown in dealmaking this year, bankers who have been talking about embracing smaller clients for ages are finally doing it. They’re swooping in on smaller transactions -- those of $500 million or less -- winning assignments to an extent not seen in five years. And in so doing, they are elbowing out some lesser rivals that typically make their bread and butter advising smaller clients. “When the larger deals are slow, people pick up the smaller deals,"" said David Friedland, global head of mergers and acquisitions in the cross-markets team at Goldman Sachs. In the first nine months of the year, Bank of America Corp., Citigroup Inc., Goldman Sachs Group Inc., JPMorgan Chase & Co. and Morgan Stanley advised on about $61 billion of announced transactions in the global small and midsize segment, according to data compiled by Bloomberg. That gave them 9.2% of that market, their largest slice since 2015, and enough for the banks to dominate the advisory rankings. It’s a big change from last year when mega-mergers ruled and big banks’ share of the small end of the market fell to just 7%. The top two spots on the 2019 league rankings were won by PricewaterhouseCoopers LLP and Rothschild & Co. Lucrative deals such as United Technologies Corp.’s $90 billion merger with Raytheon Co. kept the big banks busy. Now, while dealmaking has fallen almost 25% through Sept. 30, the volume of transactions valued at up to $500 million has seen a less severe drop, down by only 14%. A small M&A deal typically generates roughly the same fee margins compared with bigger, more complex purchases, but the segment can hardly make up for the decline in bigger transactions. In 2019, for instance, there were four deals that individually were bigger than the entire $61 billion volume of this year’s deals of $500 million or less. For Goldman Sachs, its emergence as the top adviser on smaller deals this year is also a sign that an effort to build teams dedicated to winning smaller corporate clients is paying off. Goldman Sachs bankers began fanning out across the U.S. two years ago to pitch companies once deemed too small to warrant regular attention. Its cross-markets group, which also stretches across Europe, the Middle East and Africa, was launched to help the bank win more mid-sized advisory mandates. Friedland said that initially some smaller clients were skeptical. They’d ask “How committed are you to the middle market? We have seen this before,"" Friedland recalled. “And that’s true, we first started talking about this effort more than 15 years ago,"" he said. “But now we have 190 people dedicated to this part of the market and they’re not getting pulled out to do $10 billion deals when they come along, they are full-time on the $300 million deals."" Regionally, Goldman Sachs was the top ranked adviser on deals of $500 million or less in both the Americas and Asia Pacific during the first nine months of the year. It ranked fourth in Europe, where Rothschild & Co. led the pack, Bloomberg data show. Eamon Brabazon, co-head of M&A in Europe, the Middle East and Africa at Bank of America, said there had been a flurry of smaller deals in the first wave of the M&A comeback. “The rationale for this is clear. Smaller deals are inherently less risky and hence it’s not surprising that we saw a disproportionate amount of smaller deals immediately post-lockdown,"" he said. A particular bright spot has been the health-care sector, where smaller deal volumes are up 38% this year. Companies’ renewed desire to access lucrative therapies for cancer and other rare diseases through acquisitions is driving the broader trend. Smaller companies in the U.S. are also keen to do deals ahead of next month’s presidential election, according to Rodney Miller, vice chairman of investment banking at JPMorgan, which has 2,000 bankers globally working with small and midsize companies. Any overhaul of policy on capital gains tax under a Joe Biden administration could result in undesirable consequences for those looking to sell businesses, investment bank Houlihan Lokey Inc. wrote in a report in July. “For the last four or five months, clients have been coming to us saying, ‘Can you get my company sold before there’s a potential tax regime change?’"" Miller said."
2,/news/world/would-ve-sacked-army-chief-if-kargil-war-conducted-without-informing-me-imran-khan-11601658769637.html,Would've sacked army chief if Kargil war conducted without informing me: Pak PM,"Nawaz Sharif, who was the prime minister during the Kargil war, has long maintained that he was not aware of what was happening when the conflict broke out in 1999. He says the then army chief Gen Pervez Musharraf had attacked Kargil without informing him. ""I would have sacked the army chief if Kargil operation was conducted without informing me,"" Khan said in an interview to private news channel Samaa TV on Thursday. Khan also said that he would sack the Inter-Services Intelligence (ISI) chief if the latter asked him to resign. The comment was made in the context of three-time prime minister Sharif’s claim that the ISI chief asked him to step down in 2014 when Khan had unleashed a big protest sit-in the national capital. He said the army was keeping the country united and slammed Sharif for targeting the military establishment. ""Look at Libya, Syria, Iraq, Afghanistan, Yemen; the entire Muslim world is ablaze [so] why are we safe? If it weren't for our army, our country would've been in three pieces…"" Khan said. Sharif recently made two speeches from London, where he has been staying since November 2019 on medical grounds, directly attacking the army for interference in politics and claimed that Khan came to power through its support. The powerful Army, which has ruled Pakistan for more than half of its 70 plus years of existence, has hitherto wielded considerable power in the matters of security and foreign policy. Khan also said that it was not the army's job to run the government and failure of a democratically elected government should not be used to impose a martial law. ""If a judge gives a wrong decision it means the judiciary has to evolve. The army has evolved as well. Contemporary civil-military relations are the best in history because they are all working in their spheres,"" he said. He also claimed that the army was standing by the government in all matters including relations with India, opening of the Kartarpur Corridor and the coronavirus pandemic. "
3,/news/india/no-hope-for-justice-for-hathras-victim-till-up-cm-resigns-chandrashekhar-azad-11601658587146.html,No hope for justice for Hathras victim till UP CM resigns: Chandrashekhar Azad,"Azad, who was at the protest site in Jantar Mantar to demand justice for the Dalit woman, asserted that he will go to Hathras and the struggle will continue. ""The Hathras victim cannot get justice till UP CM resigns and the Supreme Court takes cognisance of the issue. These kind of culprits should be punished as soon as possible so that others get scared before committing such crimes,"" he said, addressing the protesters. ""We will go to Hathras and till the time the matter doesn't come to Delhi, there is no chance of getting justice,"" Azad added. Civil society activists, students, women and leaders from the Aam Aadmi Party and the Left parties gathered at the Jantar Mantar on Friday evening to voice their protest against the Hathras incident. The protest was initially supposed to be held at the India Gate, but was later shifted to Jantar Mantar owing to prohibitory orders in place in the Rajpath area. People gathered at the site wearing masks and raising slogans demanding resignation of the Uttar Pradesh chief minister and justice for the victim. "
4,/companies/news/bytedance-working-to-resolve-us-concerns-over-tiktok-stake-sale-11601658023719.html,ByteDance working to resolve US concerns over TikTok stake sale,"Oracle Corp., which is leading the bid to buy a stake in TikTok, is also still hashing out the fine-print terms of the deal, which two weeks ago received an endorsement “in concept"" from U.S. President Donald Trump but faces skepticism from others within his administration and from the Chinese government. ByteDance is in discussions on a final proposal with the Committee on Foreign Investment in the U.S., or Cfius, the regulatory body that must clear any agreement. Several issues remain unresolved, including questions about data security, Chinese ownership in the new TikTok Global and a possible $5 billion education fund. Trump has said that if a deal isn’t done before Nov. 12, TikTok will be shut down in the U.S., but it’s possible that deadline could be changed if negotiations are still going on into next month, people familiar said. The process is going slowly in part because of the volume of details that need to be ironed out, said some of the people, who asked not to be identified discussing the private negotiations. What’s more, the fate of TikTok Global has slipped lower on the list of priorities for the president, who’s seeking to win approval for a new Supreme Court justice and focused on his campaign for re-election, some of the people said. A representative from TikTok declined to comment, while Oracle didn’t immediately respond to a request for comment. Cfius doesn’t confirm, deny or comment on its work. TikTok was forced to start talks for a deal by a pair of bans Trump issued in August on the grounds that ByteDance posed a national security risk, thrusting the app into the center of the president’s confrontation with Beijing. ByteDance is fighting the U.S. administration’s orders while simultaneously trying to push a deal through. A federal judge temporarily blocked a proposed White House ban of TikTok from U.S. app stores on Sept. 27, claiming the Trump administration overstepped its authority in demanding the removal. The agreement on the table materialized last month and called for Oracle and Walmart Inc. to take minority stakes in TikTok Global, and for four of the company’s five board members to be U.S. citizens. That proposal won out over a bid from Microsoft Corp. to purchase TikTok’s U.S. assets outright. Under the plan being discussed, all the board votes will be equally weighted, one person familiar with the matter said, meaning no single board member will have greater influence than others. Walmart has said Chief Executive Officer Doug McMillon will take one of those board seats. The retail giant is likely to have a more active role in TikTok’s products and features than some other investors, people familiar said. Walmart has touted “commercial agreements"" with TikTok, and the two sides are discussing how to integrate Walmart and TikTok features into each other’s respective apps. Walmart declined to comment on the latest discussions. Oracle, meanwhile, isn’t expected to take a board seat. The software maker’s role is more specific to TikTok’s data storage and security, but the company isn’t expected to have a role in the company’s day-to-day business or product operations, some of the people said. Still, some of the most basic aspects of the deal appear to be undecided. While Oracle and Walmart have said they will take a combined 20% stake in the new TikTok entity, Trump and Oracle have both asserted that the deal won’t move forward if the resulting company has Chinese involvement. ByteDance, meanwhile, says it plans to hold an 80% stake in the new company, and there are indications that the Chinese government will only approve a deal if ByteDance maintains a majority stake."
5,/news/india/-over-rs-1-35-tn-cash-transferred-to-poor-women-and-farmers-under-pmgky-11601655138834.html,"'Over  ₹1.35 tn cash transferred to poor, women and farmers under PMGKY'","This includes  ₹68,921 crore transferred to 42 crore poor people,  ₹30,952 crore to over 20 crore women and two instalments of  ₹17,891 crore each to 8.7 crore farmers under the package, said the person. The government, which announced a  ₹1.7 trillion humanitarian package in March, and subsequently followed it up with a  ₹20 trillion economic package, is keeping a close tab on their implementation, the person said. The package also included free supply of food grain, pulses and cooking gas refills. Other than cash transfers, financial support has been given to construction workers amounting to  ₹4,987 crore under the package. Under the liquidity boosting steps, people have availed of non-refundable advance of about  ₹10,615 crore from EPFO accounts. The person also said that as on 30 September, about 30 crore man days of employment has been provided to migrant workers and more than  ₹27,000 crore have been spent under the Garib Kalyan Rojgar Abhiyaan. The Central government has also transferred Rs. 2.17 trillion to state governments as devolution of their share of taxes in the first five months of this fiscal which is Rs. 37,629 crore lower than that of the previous year. The budget estimate for the whole year is  ₹7.8 trillion."
6,/news/india/bidders-want-govt-to-sweeten-ai-deal-further-11601657530782.html,Bidders want govt to sweeten Air India deal further,"They said the requirement that a potential buyer absorb  ₹23,286.5 crore of the carrier’s total debt of  ₹60,074 crore, has made it difficult to sell the airline in its second attempt, after the initial failure in 2018. “At that time too, the airline’s debt pile emerged as the primary worry for bidders following which the government decided to transfer around  ₹40,000 crore of the debt to Air India Assets Holding Ltd, a special purpose vehicle created for this,"" said the first person cited above. Kapil Kaul, South Asia CEO of CAPA-Centre for Aviation said he expects the deadline for submitting bids to be extended further at least to December. “While the government is committed to Air India’s privatization and expects a successful outcome this time in spite of very challenging circumstances, it may have to sweeten the deal and make changes based on investor feedback,"" Kaul said. The deadline for submitting bids for the national carrier has already been extended several times due to the coronavirus pandemic ever since a fresh divestment process was initiated on 27 January. The government had in January sought bids for selling its entire 100% equity in the airline, including Air India’s 100% stake in no-frill subsidiary Air India Express Ltd and 50% stake in Air India SATS Airport Services Pvt. Ltd. Tata Sons, which controls the Tata group conglomerate, and had initially shown interest in bidding for Air India, is however unlikely to place a bid, said the second person. “At present, it’s a very tough call for Tata group to bid for Air India. In fact, under the current scenario, it will be very difficult for any airline to bid for Air India considering how the sector has been adversely affected by the pandemic,"" the person, who is close to the Tata group, said on condition of anonymity. A spokesperson for the Tata group declined to comment. Handing over control of Air India may help the carrier, which hasn’t made a profit since the merger with Indian Airlines in 2007, to post a financial turnaround. The path may, however, not be easy considering the global aviation market has been one of the worst-affected by the pandemic and could potentially be one of the last few sectors to stage a recovery."
7,/news/india/hathras-case-up-cm-suspends-sp-4-other-cops-based-on-sit-report-11601657003651.html,"Hathras case: UP CM suspends SP, 4 other cops based on SIT report","The official said the action has been taken on the basis of a preliminary inquiry report of the SIT. Besides Vikrant Vir, the other suspended policemen are Circle Officer Ramshabd, Inspector Dinesh Kumar Verma, Sub-Inspector Jagveer Singh and Head Constable Mahesh Pal, Additional Chief Secretary (Home) Awanish Awasthi said. Shamli SP Vineet Jaiswal has been transferred to Hathras, he said. Another senior official said the SIT constituted by the chief minister to probe into the case of alleged murder and gangrape submitted its first report on Friday. The official said besides the suspended policemen, all those connected with the case will have to undergo narco and polygraph tests. The chief minister had constituted the SIT on Wednesday. Led by Home Secretary Bhagwan Swarup, it has DIG Chandraprakash and Agra PAC Commandant Poonam as its members. The SIT was asked to submit its report in seven days. "
8,/technology/tech-news/amazon-alexa-auto-mode-to-roll-out-in-india-here-s-how-it-aims-to-make-cars-smarter-11601654743739.html,Amazon Alexa Auto Mode to roll out in India: How it aims to make cars smarter,"The new Auto Mode aims to turn the user’s phone into a smart display that enhances Alexa's in-vehicle voice experience. The company claims that the Auto Mode was designed to help the driver stay focused on the road with easy to read visuals, large touch targets and intuitive features and shortcuts for the most common actions used in the vehicle like navigating to saved locations, placing calls to contacts and Alexa devices, and playing recent media. The interface also provides hints at the bottom of the page to help you discover new features that can be performed with Alexa. According to the company’s official blog, the new Auto Mode is rolling out to Android and iOS in the coming weeks and will be available in India, U.S., Canada, Germany, France, Italy, Spain, UK, Australia and New Zealand. Auto Mode consists of four screens - the Auto Mode home screen, Navigation, Communicate, and Play - and a persistent menu bar allows users to quickly switch between them. Home Screen The Auto Mode home screen is designed to provide one-touch access to frequent actions, with shortcuts to play and pause current media source, navigate to home or work, and to make a call. The user can not only tap on the shortcut to initiate the action but also ask Alexa, for example through voice commands. Navigate The Navigate screen provides quick access to favourite locations stored in the Alexa app. Choosing a destination will open the preferred navigation app and begin navigation. The user can switch back to the Alexa app by using only voice. Within the navigate feature, the user can also ask Alexa to help find someplace new. As Alexa reads back the responses, Auto Mode displays a simplified list showing relevant information, allowing input via voice or touch. Communicate The Communicate screen allows the user to place a call or make an announcement to their Alexa devices. The new Auto Mode, the company claims, will provide an easy to read list of contacts and devices. Play"
9,/news/india/india-is-encouraging-indigenous-vaccine-production-says-pm-modi-11601654613688.html,"India is encouraging indigenous vaccine production, says PM Modi","The Prime Minister referred to India’s efforts towards development of vaccines and executing the vaccination programme. “The long break in vaccine production is broken. In 2014 four new vaccines were introduced into our immunization programme. This includes indegineously developed rota vaccine,"" said Modi. Modi also mentioned about ambitious mission to eliminate tuberculosis in India by 2025, which is five years before the global target. The Prime Minister said that government has taken numerous measures to boost scientific research and innovation as science is at the core of its efforts towards socio-economic change. “The need of the hour is to ensure more youngsters develop interest in Science. For that we must get well-versed with science of history and history of science,"" he said. Modi also highlighted the National Education Policy 2020 which was brought in after three decades and after nation-wide detailed consultations and deliberations. “The policy aims to boost curiosity towards science and gives much needed boost to Scientific Research. It provides open and broadbased environment to nurture young talent,"" Modi said. The Prime Minister also mentioned about the pioneering space reforms of India which will create opportunities for industry and academia. Mentioning about Indian partnership in Laser Interferometer Gravitational-wave Observatory, European Organization for Nuclear Research (CERN) and International Thermonuclear Experimental Reactor (ITER), he highlighted the importance of scientific research and development efforts at global level. Modi also referred to India’s major missions on supercomputing and cyber physical systems. Talking about fundamental research and applications in areas of artificial intelligence, robotics, sensors, and big data analysis, the Prime Minister said that this will boost the startup sectors and manufacturing in India. He mentioned about the 25 innovation technological hubs already launched in India and how it would further boost the startup ecosystem. “India wants top quality research to help its farmers. He praised Indian scientists for increasing the production of pulses and food grains,"" Modi said. “India wants top-class scientific research to help our farmers. VAIBHAV summit will lead to useful collaborations in teaching and research. The efforts of the Indian diaspora will help create ideal research ecosystem,"" he said. In VAIBHAV summit, more than 3000 overseas Indian origin academicians and scientists from 55 countries and about 10,000 from India are taking part and it is being organized by 200 Indian academic institutes and Science & Technology (S&T) departments, led by Principal Scientific Advisor K. Vijayaraghavan, Government of India. Around 700 overseas panelists from 40 countries and 629 resident panelists from eminent Indian academia and S&T departments will deliberate on 18 different verticals with 80 sub-topics in 213 sessions. The deliberations will be held from 3rd October to 25th October 2020, with consolidation of outcomes on 28th October. The summit will conclude on the occasion of Sardar Vallabh Bhai Patel Jayanti i.e. 31st October 2020. The initiative involves multiple levels of interactions among the overseas experts and Indian counterparts over a month-long series of webinars and video conferences. The broad S&T areas that will be discussed during the summit includes computational sciences, electronics and communication, quantum technologies, photonics, aerospace technologies, medical sciences, biotechnology, agriculture, material & processing technologies, advanced manufacturing, earth sciences, energy, environmental sciences, and management. The aim of the summit is to bring out a comprehensive roadmap leveraging the expertise and knowledge of global Indian researchers for addressing emerging challenges for universal development. The summit will reflect on the collaboration and cooperation instruments with academia and scientists in India and abroad. The goal is to create an ecosystem of Knowledge and Innovation in the country through global outreach."
