,links,title,news
0,https://www.thehindu.com/news/international/thousands-without-power-planes-delayed-as-storm-bella-lashes-france/article33433330.ece,"





Thousands without power, planes delayed as storm Bella lashes France
"," Tens of thousands were left without electricity and planes were delayed or forced to re-route Sunday as storm Bella caused torrential rain and heavy winds in much of France. Brittany and Normandy in the north and west of France were the first regions to suffer power cuts, but “18,000 households were reconnected” later on Sunday, said power company Enedis.  However, some 34,000 households in the east and centre of France were still without power as the storm made its way across the country.  Over a third of flights from France’s main airport of Charles de Gaulle north of Paris had suffered delays of an average of 50 minutes due to the storm. However, airport operator ADP said “air traffic has now returned to normal”.  Three flights heading to the airport were re-routed to Paris Orly airport south of Paris, while an Aeroflot flight landed in Amsterdam and a plane heading from Luxemburg turned back. A top flight rugby clash between Pau and Stade Francais scheduled for the afternoon was delayed by three hours after the storm prevented the Paris-based team from taking off. The winds and rains abated in some areas by the late afternoon, but heavy snow was forecast on higher ground in the south of the country heading into Monday. Similar troubles were seen in the south of England where winds reaching 170 kilometres (105 miles) an hour were recorded on the Isle of Wight overnight Saturday to Sunday.  Meanwhile some 20,000 households in Wales had their electricity cut while delays were also seen on railways due to trees falling on the line."
1,https://www.thehindu.com/news/national/sii-to-launch-first-indigenous-pneumonia-vaccine/article33431995.ece,"





SII to launch first indigenous pneumonia vaccine ","The first indigenous vaccine against pneumonia, developed by the Serum Institute of India (SII), will be launched by Union Health Minister Harsh Vardhan on Monday, says information released by the Institute here on Sunday. According to sources, the vaccine will be much more affordable than the existing ones manufactured by two foreign companies.  In July, India’s drug regulator had granted market approval for the Pneumococcal Polysaccharide Conjugate vaccine, after reviewing the phase 1, 2 and 3 clinical trial data submitted by the Pune-based firm.  “This vaccine is used for active immunisation against invasive disease and pneumonia caused by Streptococcus pneumonia in infants,” the Health Ministry had said earlier."
2,https://www.thehindu.com/news/international/central-africa-votes-in-polls-marred-by-violence/article33433215.ece,"





Central Africa votes in polls marred by violence
"," Voters went to the polls on Sunday in the Central African Republic in presidential and legislative elections marred by the latest flare-up in a long-running civil war, with many voters unable to cast their ballots. Incumbent Faustin Archange Touadera is the frontrunner in polls that follow a week of turbulence marked by accusations of an attempted coup, rebels briefly seizing the fourth-largest town and Russia and Rwanda dispatching military personnel to help the beleaguered government. UN peacekeepers and local and Rwandan soldiers were patrolling the streets of the capital on Sunday with armoured vehicles posted outside polling stations. Although some stations opened late in Bangui because of a lack of voting materials, senior election officials told AFP they would stay open later to make up for it. “It’s very important for me to be here, as a citizen. I think this vote will change our country, whoever the president will be,” teacher Hortense Reine said. Sixteen candidates are vying for the presidency — Touadera’s main rival is former prime minister Anicet Georges Dologuele. Polling stations began to close at 5:00 pm (1600 GMT) with partial results expected on January 4 and the final totals on January 19. At the end of the day, government spokesman Ange Maxime Kazagui praised “the commitment and determination of the population who defied the armed groups”. And Momokoama Theophile of the National Elections Authority (ANE) told AFP that turnout had been good “despite minor security concerns in some places”.  A runoff will be held on February 14 if there is no overall majority in the first round. Away from Bangui, sporadic fighting has been going on for nine days and scattered incidents were reported early on Sunday. In the northwest, more than 500 kilometres (300 miles) from the capital, rebels seized election materials in Koui and officials received death threats in Ngaoundaye, according to a senior UN official.  In some areas, rebels threatened anyone who went to vote.  The CSSE Strategic Committee for Securing Elections, which is close to the government, listed at least 12 provincial sub-prefectures where voting could not take place.  Meanwhile, thousands of people had not received their voter cards because of the dire security situation, according to local and UN officials who all requested anonymity. “How do we vote when we don’t even have our voter cards,” Robert, from Boali 80 kilometres north of Bangui told AFP by phone -- explosions audible in the background. “Everyone is fleeing at the moment. I’m holed up at home.”  Ahead of the elections many of the 1,500 candidates contesting the 140 seats in the national assembly were unable to campaign. Former president Francois Bozize, who wanted to stand but was barred by judges because he is under UN sanctions, urged people not to vote and backed a rebel coalition. “Stay at home. Let Touadera place his ballot in the box alone,” Bozize said in an audio message published online which his party confirmed to AFP. The government on December 19 accused Bozize of attempting a coup alongside armed groups advancing on the capital, a charge he denies. Fears about the rebels swept the city in the following days, although the UN peacekeeping force MINUSCA said their advance had been stopped. The rebel coalition on Wednesday announced a 72-hour “unilateral ceasefire” in the runup to the vote, only to call it off on Friday saying it would resume its march on the capital.  On Tuesday, the CAR’s fourth-largest town, Bambari, 380 kilometres northeast of Bangui, was overrun but security forces backed by UN peacekeepers regained control the following day. On Sunday, polling stations in Bambari remained closed in the morning because of gunfire from armed groups, according to Jeannot Nguernendji, president of the local peace committee.  The mineral-rich but poverty-stricken CAR has been unstable since independence 60 years ago. Thousands of people have died since a civil war erupted in 2013 and more than a quarter of the population of 4.9 million have fled their homes. Of these, 675,000 are refugees in neighbouring countries and cannot vote. Even though bloodshed has receded in intensity over the last two years, violence remains chronic. Militia groups hold sway over two-thirds of the territory. Experts and opposition figures have already asked what legitimacy the president and 140 MPs to be elected will have, given the obstacles to holding a free vote."
3,https://www.thehindu.com/sport/football/premier-league-late-wolves-equaliser-extends-spurs-slump/article33433214.ece,"





Premier League | Late Wolves equaliser extends Spurs slump
"," Tottenham paid for an overly conservative approach from Jose Mourinho as Romain Saiss’s equaliser four minutes from time earned Wolves a 1-1 draw at Molineux on Sunday. Spurs made a dream start as Tanguy Ndombele opened the scoring in the first minute. But Mourinho’s men have now failed to win in four consecutive league games to heavily dent their hopes of a first league title in 60 years.  Tottenham edge up to fifth, but remain six points adrift of leaders Liverpool. Saiss’s late leveller was no less than Wolves deserved as they dominated the second-half. But it was a familiar story for Spurs as just like in blowing another two points in a 1-1 draw at Crystal Palace a fortnight ago, they sat on a precarious 1-0 lead for most of the match and were punished. Tottenham started like a side keen to make amends for last weekend’s lacklustre 2-0 defeat to Leicester. The visitors could even have scored before they did as Son Heung-min’s shot from a narrow angle was blocked behind. From the resulting corner, the ball broke to Ndombele at the edge of the box and his shot deceived Rui Patricio, who should have done better in the Wolves goal. Wolves have struggled for goals since losing Raul Jimenez to a fractured skull last month. The Mexican was at Molineux for the first time since his injury, but his presence was missed on the field as the hosts went onto dominate possession without a cutting edge. Fabio Silva flashed a shot into the side-netting and Daniel Podence fired too close to Hugo Lloris from the edge of box before the break. Nuno Espirito Santo’s men have made a habit of scoring the bulk of their goals in the second-half and looked like the only side capable of scoring after the break. Silva’s claims for a soft penalty were waived away as Tottenham largely restricted the hosts to potshots from range. Ruben Neves curled narrowly over before Wolves’ danger man Pedro Neto saw another effort from the edge of the area deflected just wide. Neto was the provider when Wolves did score the goal their second-half performance deserved. Saiss beat his marker to a corner at the near post and flicked the ball into the far corner. Wolves should even have gone on to win the game when 18-year-old Silva wasted a golden chance for his first Premier League goal from open play with a header straight at Lloris deep in stoppage time."
4,https://www.thehindu.com/news/national/other-states/land-row-intellectuals-protest-against-treatment-meted-out-to-sen-by-visva-bharati/article33433206.ece,"



1hr

Land row: Intellectuals protest against treatment meted out to Sen by Visva-Bharati
"," Intellectuals of various fields on Sunday took part in a protest to express their support to Nobel laureate Amartya Sen on the row over his family being in “illegal” possession of land at Visva-Bharati, and denounced the “dictatorial and autocratic” conduct of the central university towards him. Poets Joy Goswami and Subodh Sarkar, singer Kabir Suman, painters Jogen Chowdhury and Suvaprasanna, theatre personality-turned-minister Bratya Basu and others assembled at the compound of the Academy of Fine Arts here to raise their voice on the issue. They were holding placards saying “Will not accept BJP’s insult to Bengalis”, “Insult to Amartya Sen is insult to Bengalis”. Visva-Bharati has recently written to the West Bengal government claiming that dozens of land parcels owned by it were wrongfully recorded in the names of private parties including Sen. The economist said that the entire land occupied by him on the campus was registered on a long term lease that was nowhere close to expiry.  “I protest the dictatorial and autocratic conduct of Visva-Bharati with a personality like Amartya Sen. We are here to register our protest and opposition to the treatment meted out to Sen and express our solidarity with him, Goswami said.  The vice-chancellor of Visva-Bharati was appointed by the BJP-led government at the Centre which is targeting Sen as he had never been afraid to air his views, Suman alleged. Basu said, “The BJP has always been opposed to free thinkers. We have assembled here to voice our protest. Chief Minister Mamata Banerjee has already pledged her solidarity to Amartya Sen.” Banerjee, also the Trinamool Congress supremo, had claimed that the world renowned economist has been subjected to such attack by the present authorities of the university because of his ideological anti-BJP stance.  The US-based economist, an icon of Bengali achievement on world stage, has often been critical of the Narendra Modi government’’s economic policies. Reacting to the protests, BJP state president Dilip Ghosh said, “Those intellectuals should keep in mind that the Trinamool Congress is fast losing the support of people of the state. They must remember that the TMC uses intellectuals only when it faces imminent defeat.” At an event held on a different issue, senior CPI(M) leader and Left Front chairman Biman Bose said that the way Sen is being treated by Visva-Bharati authorities is most unfortunate.  He said that the West Bengal government should hold discussions with the university authorities so that they stop treating the economist in this way.  Sen was born in 1933 at Santiniketan, which is home to Visva-Bharati, the university founded by Rabindranath Tagore, another Nobel prize recipient and a Bengali icon.  Visva-Bharati authorities had never complained to him or his family about any irregularity in holding the land, the economist said in a statement on the land controversy on Friday. "
5,https://www.thehindu.com/news/national/other-states/jdu-not-in-favour-of-laws-against-conversion-for-marriage-kc-tyagi/article33433200.ece,"



1hr

JD(U) not in favour of laws against conversion for marriage: KC Tyagi
"," At a time when BJP ruled states are making legislation against conversion for marriage, the Janata Dal (United), an ally of the saffron party in Bihar, on Sunday asserted that such laws will create social hatred and division in the society which it does not approve of.  “An atmosphere of hatred and division is being created in the society in the name of Love Jihad,” Mr. Tyagi told reporters after the party’s national executive meeting here. The term “love jihad” is used by right-wing activists to refer to the alleged campaign of Muslims forcing Hindu girls to convert in the guise of love. “Provisions of the Constitution and CrPC give freedom to two adults to choose life partners of their choice irrespective of one’s religion, caste or region,” Mr. Tyagi said. Socialists have upheld the right of adults to marry irrespective of caste and creed since the days of Dr. Ram Manohar Lohia, he said. Lohia was a socialist ideologue. The Cabinet in BJP governed Madhya Pradesh on Saturday passed a Bill which provides for prison term of up to 10 years and fine of ₹1 lakh for conversion through marriage or by any other fraudulent means. The bill in some ways is similar to an Ordinance notified by the BJP government in Uttar Pradesh last month. In Uttar Pradesh, a PIL has been filed in the Allahabad High Court challenging the ordinance, contending that it impinges upon the fundamental right to choice and right to change of faith. "
6,https://www.thehindu.com/sport/tennis/andy-murray-receives-australian-open-wild-card-entry/article33433229.ece,"



1hr

Andy Murray receives Australian Open wild-card entry "," Five-time Australian Open finalist Andy Murray has been given a wild-card entry into the first Grand Slam tournament of next year. Former top-ranked Murray has slipped to No. 122 in the ATP rankings after several years of battling hip injuries and surgery. “We welcome Andy back to Melbourne with open arms,” Australian Open tournament director Craig Tiley said Monday. “As a five-time finalist he has been an integral part of so many amazing matches and storylines in the recent history of the Australian Open.” Murray made a teary retirement announcement in Melbourne two years ago before undergoing a second round of surgeries to extend his career. “His retirement was an emotional moment and seeing him come back, having undergone major surgery and build himself back up to get onto the tour again, will be a highlight of AO 2021,” Tiley added. The rescheduled Australian Open will be played from Feb. 8-21, three weeks later than the original date in order to allow players and officials to spend 14 days in quarantine once they arrive in Australia. The players will be allowed five hours of practice each day at Melbourne Park, but must stay confined to their hotel rooms otherwise. Also receiving a wild card was Australian Thanasi Kokkinakis, who is also recovering from a series of injuries and hasn’t played a tour match since the 2019 U.S. Open. He missed the 2020 Australian Open due to glandular fever. Fellow Australians Destanee Aiava and Arina Rodionova gained wild cards into the 128-women’s draw. India’s Sumit Nagal and China’s Wang Xiyu were awarded wild cards from the Asia-Pacific for the men’s and women’s main draw, respectively."
7,https://www.thehindu.com/news/international/us-government-heads-toward-chaotic-end-to-2020-as-trump-fights-congress/article33433183.ece,"



1hr

U.S. government heads toward chaotic end to 2020 as Trump fights Congress
"," The U.S. government headed toward a chaotic last few days of the year as President Donald Trump’s refusal to approve a $2.3 trillion financial package caused millions of jobless Americans to lose benefits and threatened to shut down federal agencies due to lack of funding. Mr. Trump, who leaves office on Jan. 20 after losing November’s election, came under pressure on Sunday from lawmakers on both sides to stop blocking the pandemic aid and government funding bill which was approved by Congress last week. The Republican president has demanded that Congress change the bill to increase the size of stimulus checks for struggling Americans to $2,000 from $600. Many economists agree that the financial aid in the bill should be higher to get the economy moving again but say that immediate support for Americans hit by coronavirus lockdowns is still urgently needed. Unemployment benefits being paid out to about 14 million people through pandemic programs lapsed on Saturday, but could be restarted until mid-March if Mr. Trump signs the bill. Adding to the uncertainty, the package includes $1.4trillion in spending to fund government agencies. If Trump does not sign the legislation, then a partial government shutdown will begin on Tuesday that would put millions of government workers’ incomes at risk, unless Congress steps in with as top-gap measure the president accepts. Republican Senator Pat Toomey told “Fox News Sunday” that Mr. Trump should approve the bill now, then push for more unemployment money later. “I understand the president would like to send bigger checks to everybody. I think what he ought to do is sign this bill and then make the case. Congress can pass another bill,” Toomey said. “You don’t get everything you want, even if you are the president of the United States,” he said. After months of wrangling, Republicans and Democrats agreed to the package last weekend, with the support of the White House. Trump stunned Republicans and Democrats alike when he later said he was unhappy with the massive bill, which provides $892billion in coronavirus financial relief, despite offering no objections to the terms of the deal before Congress voted it through on Monday. Trump spent the Christmas holiday at his Mar-a-Lago resort in Florida. On Sunday morning, he seemed in no rush to try to resolve the stand-off with Congress as he headed for the Trump International Golf Club in West Palm Beach. He has also complained that the bill gives too much money to special interests, cultural projects and foreign aid. “What the president is doing right now is unbelievably cruel,” Senator Bernie Sanders said of the delay. “We are dealing with an unprecedented moment in American history. So many people are hurting,” he told ABC News’ “This Week” show. Sanders, an independent who caucuses with the Democrats, urged Trump to “finally do the right thing for theAmerican people and stop worrying about his ego.”  Americans are living through a bitter holiday season amid a pandemic that has killed nearly 330,000 people in the United States, with a daily death toll now repeatedly well over 3,000people, the highest since the pandemic began. The relief package also extends a moratorium on evictions that expires on Dec. 31, refreshes support for small business payrolls, provides funding to help schools re-open and aid for the transport industry and vaccine distribution. Representative Adam Kinzinger, a Republican from Illinois,said Trump’s refusal to sign the economic stimulus bill was difficult to fathom. “I don’t get the point,” Kinzinger told CNN’s “State of the Union.” “Unless it’s just to create chaos, and show power, and be upset because you lost the election.” The U.S. Congress, which normally is adjourned the last week of December, is preparing to return to work. The Democratic-controlled House of Representatives plans to vote on Monday on legislation providing one-time $2,000 checks to people, but Republican lawmakers are already concerned about the cost of the larger package. Without enactment of the broad relief and funding bill, the U.S. government runs out of money at midnight Dec. 28. If the battle with Trump is not resolved by then, Congress must either pass a stopgap funding bill or federal agencies will not have money to fully operate beginning Tuesday. That scenario could be avoided if both the House and Senate pass a funding bill that is separate from the pandemic legislation and the president signs it by midnight Monday."
8,https://www.thehindu.com/news/international/us-taking-hard-look-at-variant-of-coronavirus-fauci/article33433165.ece,"





U.S. taking hard look at variant of coronavirus: Fauci
","  U.S. health officials believe the coronavirus mutation that set off alarms in parts of Britain is no more apt to cause serious illness or be resistant to vaccines than the strain afflicting people in the United States but it still must be taken “very seriously”, the government’s top infectious disease expert said. Dr. Anthony Fauci endorsed the decision of U.S. officials to require negative COVID-19 tests before letting people from Britain enter the U.S.  He declined to weigh in on whether that step should have been taken sooner.  He said the variant strain is something “to follow very carefully” and “we’re looking at it very intensively now”.  “Does it make someone more ill? Is it more serious virus in the sense of virulence? And the answer is, it doesn’t appear to be that way,” Dr. Fauci said.  British officials are telling their US colleagues it appears that the vaccines being rolled out will be strong enough to deal with the new variant but, Dr. Fauci said, “we’re going to be doing the studies ourselves”. Dr. Fauci said the U.S. is at a critical phase of the pandemic, with the worst probably still ahead. He predicted the general population would be getting immunised widely by late March or early April — beyond the frontline workers, older people and certain other segments of the public given priority for the vaccines."
9,https://www.thehindu.com/news/international/turkish-lawmakers-pass-bill-monitoring-civil-society-groups/article33433143.ece,"





Turkish lawmakers pass bill monitoring civil society groups
"," Turkey’s parliament approved a law Sunday that would increase government monitoring of civil society groups, which rights groups have warned would violate the freedom of association.  Newly introduced articles on associations and foundations, included in the bill on “Preventing Financing of Proliferation of Weapons of Mass Destruction,” allow the annual inspection of non-governmental organizations, ostensibly to combat terrorism financing.  The law also lets the interior ministry replace members of associations if they are being investigated on terrorism charges and gives it the power to suspend activities with a court order. It also allows courts to block access to online donation campaigns without permits.  The bill, proposed by President Recep Tayyip Erdogan’s ruling party, passed with the votes of the party and its nationalist allies.  Turkey’s anti-terrorism laws are broad and have led to the jailing of politicians, journalists, civil society activists and thousands of others.  Nearly 680 civil society groups signed a declaration against the bill, saying it would limit their ability to raise funds and organize while putting them under ministry pressure. They said the law violates the Turkish Constitution, which guarantees the freedom of association.  “Turkish prosecutors regularly open terrorism investigations into people for peacefully exercising rights to freedom of expression, assembly, and association,” Human Rights Watch said in a statement before the vote.  The rights group warned the law would “widen the scope for the Interior Ministry to restrict the activities of any organization and individuals engaged in them.” The law would also apply to international civil society groups operating in Turkey. "
