Id,SalePrice
1461,122569
1462,168513
1463,203487
1464,193631
1465,191360
1466,170923
1467,189023
1468,173562
1469,169153
1470,128374
1471,208173
1472,80250
1473,99767
1474,156717
1475,132057
1476,421856
1477,250604
1478,281081
1479,225255
1480,513393
1481,306081
1482,201984
1483,153838
1484,156980
1485,174059
1486,217712
1487,338081
1488,239929
1489,200378
1490,201956
1491,185676
1492,93714
1493,210221
1494,300652
1495,295172
1496,225554
1497,174625
1498,153912
1499,158409
1500,154048
1501,189958
1502,148739
1503,314889
1504,229635
1505,225682
1506,179512
1507,244658
1508,187345
1509,158408
1510,146302
1511,133398
1512,180652
1513,141107
1514,158311
1515,209299
1516,150538
1517,155378
1518,138079
1519,226954
1520,142274
1521,138695
1522,175220
1523,108468
1524,112470
1525,117960
1526,127042
1527,100313
1528,135913
1529,156878
1530,190737
1531,113132
1532,109612
1533,177656
1534,125296
1535,163390
1536,113760
1537,72824
1538,198092
1539,198921
1540,106700
1541,155775
1542,142295
1543,239643
1544,84476
1545,107507
1546,137473
1547,142476
1548,137803
1549,113734
1550,143955
1551,134013
1552,137216
1553,172010
1554,108653
1555,178843
1556,68997
1557,84728
1558,86031
1559,70874
1560,125832
1561,139212
1562,122923
1563,125968
1564,138205
1565,151169
1566,233703
1567,79393
1568,217238
1569,131446
1570,123095
1571,117966
1572,156933
1573,238774
1574,88599
1575,194344
1576,237315
1577,197502
1578,143297
1579,152402
1580,209741
1581,155882
1582,128057
1583,355980
1584,235185
1585,148951
1586,81283
1587,88995
1588,147732
1589,95500
1590,136139
1591,87991
1592,131859
1593,125097
1594,143710
1595,104301
1596,247292
1597,181013
1598,196268
1599,188056
1600,177152
1601,73699
1602,96863
1603,92468
1604,244578
1605,238180
1606,171876
1607,138758
1608,208782
1609,204491
1610,176470
1611,155242
1612,162592
1613,168659
1614,126233
1615,83988
1616,62392
1617,90339
1618,129923
1619,147496
1620,155388
1621,132798
1622,134360
1623,282140
1624,193796
1625,121265
1626,172081
1627,205525
1628,286437
1629,196361
1630,343311
1631,223385
1632,234969
1633,167937
1634,183800
1635,184886
1636,157125
1637,191190
1638,192660
1639,176735
1640,259530
1641,173484
1642,211334
1643,222494
1644,227150
1645,185889
1646,166899
1647,154663
1648,140130
1649,147919
1650,131660
1651,125136
1652,88152
1653,93845
1654,151455
1655,155651
1656,151657
1657,153939
1658,146235
1659,139263
1660,141068
1661,500704
1662,398801
1663,361696
1664,351396
1665,304591
1666,332049
1667,356343
1668,336905
1669,286622
1670,384229
1671,251814
1672,490636
1673,308264
1674,245980
1675,187028
1676,194907
1677,220544
1678,438434
1679,373370
1680,341483
1681,262284
1682,309873
1683,175226
1684,170437
1685,170789
1686,164132
1687,171896
1688,188222
1689,187783
1690,191836
1691,176896
1692,257174
1693,179648
1694,191328
1695,176267
1696,271558
1697,195609
1698,408301
1699,321980
1700,241494
1701,255708
1702,247982
1703,260203
1704,292706
1705,227146
1706,440416
1707,208666
1708,205681
1709,279979
1710,224297
1711,252653
1712,278907
1713,242435
1714,213612
1715,214337
1716,216588
1717,178102
1718,131380
1719,187704
1720,247551
1721,162706
1722,120650
1723,145921
1724,218296
1725,238960
1726,190076
1727,148397
1728,194988
1729,168117
1730,179668
1731,126384
1732,127791
1733,125429
1734,122292
1735,126949
1736,108058
1737,387261
