Id,SalePrice
1461,128879
1462,157216
1463,187826
1464,182262
1465,200086
1466,184682
1467,165697
1468,176535
1469,187899
1470,118939
1471,202615
1472,93864
1473,98455
1474,152930
1475,151370
1476,360196
1477,251762
1478,294010
1479,247844
1480,450415
1481,298378
1482,211882
1483,174204
1484,181663
1485,170191
1486,197293
1487,330299
1488,239947
1489,211782
1490,201018
1491,194045
1492,97792
1493,177584
1494,299244
1495,299557
1496,226229
1497,190451
1498,151615
1499,150576
1500,146258
1501,170993
1502,157276
1503,308826
1504,234715
1505,213984
1506,180178
1507,208519
1508,200027
1509,163946
1510,155643
1511,158342
1512,175550
1513,154044
1514,173034
1515,180313
1516,156854
1517,152035
1518,133635
1519,232634
1520,137955
1521,148867
1522,159833
1523,113113
1524,125315
1525,129769
1526,133678
1527,101213
1528,127337
1529,147355
1530,161897
1531,131256
1532,111760
1533,146170
1534,117578
1535,165023
1536,115127
1537,75440
1538,185479
1539,231617
1540,119719
1541,153797
1542,149734
1543,214001
1544,78656
1545,103798
1546,120988
1547,145070
1548,132181
1549,106907
1550,142017
1551,121471
1552,155435
1553,148318
1554,114588
1555,172826
1556,100417
1557,124579
1558,96887
1559,146366
1560,158099
1561,149477
1562,124943
1563,126685
1564,166900
1565,156060
1566,239983
1567,77174
1568,221586
1569,150041
1570,132092
1571,136678
1572,146931
1573,245909
1574,122381
1575,224294
1576,213920
1577,205035
1578,154699
1579,142457
1580,188767
1581,136070
1582,128092
1583,319674
1584,245759
1585,138666
1586,75145
1587,107990
1588,154459
1589,104569
1590,132905
1591,110990
1592,120883
1593,115100
1594,146525
1595,132716
1596,242924
1597,175131
1598,179150
1599,214472
1600,191298
1601,77885
1602,109337
1603,98011
1604,291287
1605,251143
1606,170476
1607,163861
1608,211818
1609,198593
1610,159005
1611,148955
1612,161384
1613,165469
1614,129601
1615,87362
1616,80284
1617,86069
1618,124192
1619,128142
1620,163639
1621,138207
1622,154833
1623,297097
1624,210027
1625,132949
1626,176225
1627,190979
1628,284680
1629,173179
1630,359129
1631,222305
1632,249229
1633,162714
1634,176500
1635,180877
1636,156761
1637,183941
1638,234661
1639,176170
1640,250031
1641,186154
1642,214884
1643,222862
1644,228288
1645,185490
1646,158656
1647,162978
1648,150399
1649,138430
1650,119702
1651,119150
1652,92600
1653,100732
1654,157406
1655,158196
1656,153911
1657,154186
1658,158537
1659,151035
1660,144141
1661,434991
1662,371548
1663,372564
1664,465810
1665,304318
1666,324459
