,title,link,description,category
0,UFC 251 Free Fight: Kamaru Usman vs Colby Covington,/watch?v=107E61aOCxA,"Kamaru Usman made his first title defense against Colby Covington at UFC 245 on December 14, 2019. He was victorious via ...",UFC
1,UFC Vegas 4: Post-fight Press Conference,/watch?v=pyf5GS2Ibho,Watch the UFC Fight Night: Poirier vs Hooker Post-fight Press Conference live following the event. Subscribe to get all the latest ...,UFC
2,Dustin Poirier: Good Fight Foundation,/watch?v=WdJytBVDSn4,Learn more about Dustin Poirier's 'Good Fight Foundation' here: https://www.thegoodfightgroup.com/ Subscribe to get all the latest ...,UFC
3,UFC Vegas 4: Weigh-in Faceoffs,/watch?v=bJg_LuRLD-M,"After weighing in, all of the fighters competing on Saturday sized up their opponent for the final time before they meet in the ...",UFC
4,UFC Vegas 4: Weigh-in,/watch?v=ogkCXu4yxFs,Headliners Dustin Poirier and Dan Hooker weighed in on Friday morning in Las Vegas along with the rest of the fighters ...,UFC
5,"Jon Jones LEAVING the UFC to go to COLLEGE, Jorge Masvidal past struggles, Joanna on Colby Covington",/watch?v=NbgmL2VeqSA,"Jon Jones leave UFC, Jorge Masvidal on his struggles with the UFC, Joanna Jedrzejczyk on Colby Covington situation, Nick Diaz, ...",UFC
6,Will The UFC “Bow Down” To Conor McGregor?,/watch?v=dOayDBzcbfI,"LOSE WEIGHT NOW! https://www.amazon.com/Four-Pack-Revolution-Lower-Cheat-Weight-ebook/dp/B06Y1QFFDP

Chael Sonnen talks Dan ...",UFC
7,"Michael Bisping reacts to Mike Perry ditching his coaches and keeping his GF as his cornerman,Jorge",/watch?v=NxMIXUiYbdA,"Sign up for ESPN+ and watch UFC Las Vegas this Saturday, https://go.web.plus.espn.com/c/1347894/566982/9070 -Buy MMA ...",UFC
8,Todas as encaradas da Pesagem do UFC Vegas 4,/watch?v=PuwN_l3Ivtk,Os atletas dos cards preliminar e principal do #UFCVegas4 ficaram frente a frente na Pesagem Oficial. O evento acontece neste ...,UFC
9,"UFC tried numerous times to BLACKBALL me but they can't-Jorge Masvidal,Chiesa jabs at Lee,Mike Perry",/watch?v=gIcZzNzu9WA,"Sign up for ESPN+ and watch UFC Las Vegas this Saturday, https://go.web.plus.espn.com/c/1347894/566982/9070 -Buy MMA ...",UFC
10,UFC Apex 4 Main Card: Official Weigh-Ins,/watch?v=mqZzyu9Liv8,"Dan Hooker, Dustin Poirier and the rest of tomorrow's main card hit the scales. VISIT: http://www.themaclife.com FOLLOW: ...",UFC
11,Best UFC Knockouts of 2018-2020,/watch?v=l_Q6UL7xddE,,UFC
12,UFC Apex 4: Final Face Offs,/watch?v=MmT2g5ufz_E,Check out the final face offs VISIT: http://www.themaclife.com FOLLOW: http://instagram.com/themaclifeofficial FOLLOW: ...,UFC
13,"Free Fight: Khabib Nurmagomedov vs Conor McGregor | UFC 229, 2018",/watch?v=iu6n_Xja8mU,Khabib Nurmagomedov defended his lightweight championship against Conor McGregor in he biggest fight in UFC history at UFC ...,UFC
14,UFC Vegas 4: Poirier vs Hooker - Fighters You Should Know,/watch?v=4twQuutmkFU,"Brendan Allen, Sean Woodson, and Khama Worthy are three fighters you should know heading into UFC Fight Night: Poirier vs ...",UFC
15,10 Times UFC Fighters LOST CONTROL in the Ring!,/watch?v=qQOZjHqhA_I,"UFC today, we have 10 times UFC fighters lost control in the octagon! This UFC video includes angry UFC fighters, UFC fighters ...",UFC
16,UFC Fight Night Vegas 4 Weigh Face Off Highlights,/watch?v=XJH-6JzZV-E,Dustin Poirier vs. Dan Hooker Mickey Gall vs. Mike Perry Maurice Greene vs. Gian Villante Brendan Allen vs. Kyle Daukaus ...,UFC
17,"Free Fight: Conor McGregor vs Chad Mendes | UFC 189, 2015",/watch?v=dlgps1wktKA,Watch as Conor McGregor earned his first UFC belt when he defeated Chad Mendes at UFC 189 for the interim featherweight ...,UFC
18,UFC Debut: Khabib Nurmagomedov vs Kamal Shalorus | Free Fight,/watch?v=kxNxzglurqk,"The undefeated prospect from Dagestan made his UFC debut over eight years ago in Nashville. Now 28-0, Khabib ...",UFC
19,"Free Fight: Brock Lesnar vs Randy Couture | UFC 91, 2008",/watch?v=-0UQtlcgrqo,"Brock Lesnar faced off with Randy Couture for the UFC heavyweight title at UFC 91 in 2008. After defeating Couture, Lesnar ...",UFC
20,UFC Vegas 4: Post-fight Press Conference,/watch?v=pyf5GS2Ibho,Watch the UFC Fight Night: Poirier vs Hooker Post-fight Press Conference live following the event. Subscribe to get all the latest ...,UFC
21,Dustin Poirier: Good Fight Foundation,/watch?v=WdJytBVDSn4,Learn more about Dustin Poirier's 'Good Fight Foundation' here: https://www.thegoodfightgroup.com/ Subscribe to get all the latest ...,UFC
22,"Free Fight: Israel Adesanya vs Anderson Silva | UFC 234, 2019",/watch?v=hsHDn9w1JeE,Israel Adesanya continued his rapid ascent up the middleweight rankings after he faced off with UFC legend Anderson Silva at ...,UFC
23,"Free Fight: Joseph Benavidez vs Henry Cejudo | TUF 24 Finale, 2016",/watch?v=xHAuBU-f0YQ,Jospeh Benavidez won a narrow split decision victory over then-future flyweight and bantamweight champion Henry Cejudo at the ...,UFC
24,"Free Fight: Robert Whittaker vs Yoel Romero 2 | UFC 225, 2018",/watch?v=Q0m2J9ttIpk,Take a look back at Robert Whittaker and Yoel Romero's five-round war and one of the best fights of 2018. Subscribe to get all the ...,UFC
